symbol,date,open,high,low,close,volume
BOAB,2025-09-29,5285,5285,5005,5005,25308
BOAB,2025-09-30,5000,5000,4965,4965,4047
BOAB,2025-10-01,5000,5000,4970,4970,998
BOAB,2025-10-02,4975,5100,4975,5100,6156
BOAB,2025-10-03,5100,5100,5100,5100,2046
BOAB,2025-10-06,5100,5100,5100,5100,3540
BOAB,2025-10-07,5100,5100,5100,5100,1244
BOAB,2025-10-08,5100,5100,5075,5075,820
BOAB,2025-10-09,5075,5095,5075,5095,4864
BOAB,2025-10-10,5050,5050,5050,5050,2028
BOAB,2025-10-13,5050,5050,5050,5050,4418
BOAB,2025-10-14,5050,5150,5050,5150,7679
BOAB,2025-10-15,5150,5150,5050,5050,3731
BOAB,2025-10-16,5100,5100,5095,5095,6150
BOAB,2025-10-17,5095,5095,5095,5095,986
BOAB,2025-10-20,5095,5095,5090,5090,4112
BOAB,2025-10-21,5095,5095,5050,5050,1759
BOAB,2025-10-22,5050,5100,5050,5100,4315
BOAB,2025-10-23,5100,5100,5045,5045,2060
BOAB,2025-10-24,5040,5040,5000,5000,2538
BOAB,2025-10-27,5000,5000,5000,5000,2742
BOAB,2025-10-28,5000,5000,4950,4950,1402
BOAB,2025-10-29,4950,5000,4950,5000,3955
BOAB,2025-10-30,5000,5000,5000,5000,5707
BOAB,2025-10-31,4900,5000,4900,5000,1282
BOAB,2025-11-03,5000,5000,4975,4975,1624
BOAB,2025-11-04,4975,4975,4940,4940,4300
BOAB,2025-11-05,4915,4915,4895,4895,1641
BOAB,2025-11-06,4900,4945,4900,4945,2272
BOAB,2025-11-07,5200,5200,5200,5200,0
BOAB,2025-11-10,5100,5100,5100,5100,3367
BOAB,2025-11-11,5000,5060,5000,5060,890
BOAB,2025-11-12,5050,5050,5000,5000,6340
BOAB,2025-11-13,5100,5100,5100,5100,1207
BOAB,2025-11-14,5025,5100,5025,5100,8452
BOAB,2025-11-17,5100,5100,5100,5100,2017
BOAB,2025-11-18,5100,5100,5015,5015,2812
BOAB,2025-11-19,5010,5030,5010,5030,3065
BOAB,2025-11-20,5030,5035,5030,5035,6249
BOAB,2025-11-21,5100,5150,5100,5150,9599
BOAB,2025-11-24,5150,5150,5090,5090,4717
