date,BOAB,BOABF,BOAC,CBIBF,CIEC,ECOC,NEIC,NTLC,ORAC,PALC,SGBC,SNTS,SOGC,SPHC,TTLC
2025-09-29,5005,3960,7400,9800,2295,12510,680,12935,14600,9200,27000,25605,8590,7905,2450
2025-09-30,4965,3980,7375,9890,2305,12505,680,12935,14650,9150,27000,25605,8505,7410,2400
2025-10-01,4970,3920,7305,9870,2305,12700,660,13000,14800,9145,27000,25700,8495,7850,2400
2025-10-02,5100,3895,7400,9800,2350,13000,685,13000,14800,9200,26500,25895,8500,7995,2425
2025-10-03,5100,3875,7480,9845,2350,12710,685,13050,14305,9200,27000,25895,8400,7990,2445
2025-10-06,5100,3950,7400,9850,2350,12505,660,13100,14995,9500,26500,26000,8980,8585,2500
2025-10-07,5100,3900,7390,9870,2360,13000,655,13135,14700,9650,26300,26000,8900,8000,2450
2025-10-08,5075,3890,7350,9860,2400,13080,685,13135,14700,9645,26800,26100,8855,8000,2480
2025-10-09,5095,3890,7350,9890,2445,13150,685,13135,14700,9655,27000,26000,8850,7985,2490
2025-10-10,5050,3890,7310,9990,2495,13200,690,13125,14550,9515,27500,26000,8850,7880,2490
2025-10-13,5050,3885,7330,9985,2540,13250,670,13125,14510,9400,27995,25950,8710,7800,2500
2025-10-14,5150,3885,7350,9985,2380,13500,680,13245,14310,9585,26900,25950,8860,7975,2325
2025-10-15,5050,3805,7300,9975,2450,14300,690,13200,14500,9690,27500,26500,8710,7985,2445
2025-10-16,5095,3810,7270,9980,2365,13750,700,13180,14400,9700,27000,26000,8890,8100,2450
2025-10-17,5095,3850,7290,9985,2315,13810,700,13400,14400,9300,27005,26000,8750,8150,2270
2025-10-20,5090,3805,7285,9995,2420,14000,700,13400,14900,9115,27200,26350,8705,7990,2300
2025-10-21,5050,3800,7285,9980,2490,14000,690,13100,14945,8900,27205,26200,8695,8000,2400
2025-10-22,5100,3800,7290,9980,2490,14000,690,13400,15000,8895,27700,26490,8500,8000,2350
2025-10-23,5045,3750,7290,9980,2500,14175,685,13450,14530,8805,27500,26695,8690,8250,2345
2025-10-24,5000,3780,7200,9985,2500,14100,685,13390,14800,8900,27350,26700,8695,8195,2390
2025-10-27,5000,3655,7195,10000,2540,14890,700,13395,14800,9000,27700,26500,8700,8145,2390
2025-10-28,4950,3720,7150,10000,2505,14725,720,13450,14500,9080,27600,26500,8670,8060,2350
2025-10-29,5000,3700,7145,9995,2500,14800,720,14455,14485,9260,27750,26350,8225,8060,2355
2025-10-30,5000,3675,7110,9995,2530,15150,770,15250,14490,8570,27800,26200,7910,7695,2350
2025-10-31,5000,3500,7150,9995,2590,15110,825,14110,14480,8350,27700,26105,7840,7890,2380
2025-11-03,4975,3495,6960,9995,2580,15200,885,13055,14405,7725,27500,26100,7505,7795,2325
2025-11-04,4940,3450,6900,9925,2580,15200,950,12080,14400,7150,27200,26100,7400,7485,2325
2025-11-05,4895,3450,6900,10000,2620,15500,1020,11175,14200,6990,26950,26000,7350,7450,2325
2025-11-06,4945,3450,7200,10000,2620,15700,1095,10340,14605,7500,26955,25990,7500,7350,2335
2025-11-07,5200,3460,7060,9990,2615,15750,1015,10250,14155,8060,26995,26000,7890,7490,2335
2025-11-10,5100,3490,7050,9985,2615,15500,940,11000,14205,8450,26905,25900,8000,7490,2335
2025-11-11,5060,3545,7185,9985,2610,15500,1000,10950,14600,8350,26900,25600,7975,7485,2325
2025-11-12,5000,3550,7180,9985,2600,15200,995,11100,14550,8200,27300,25455,7820,7480,2300
2025-11-13,5100,3575,7250,10000,2600,15210,985,11500,14280,8150,27000,26000,7860,7480,2345
2025-11-14,5100,3510,7250,10020,2515,15240,995,12000,14300,7950,27000,25500,7860,7480,2360
2025-11-17,5100,3595,7250,10200,2610,15900,990,12550,14450,8150,27300,25500,7750,7450,2380
2025-11-18,5015,3600,7105,10500,2600,15900,920,12550,14450,8090,27200,25000,7800,7320,2350
2025-11-19,5030,3680,7250,11100,2640,15900,975,12410,14500,8090,26500,25400,7850,7395,2370
2025-11-20,5035,3780,7295,10800,2640,16000,945,11500,14700,8005,26500,25500,8000,7460,2365
2025-11-21,5150,3785,7300,11000,2630,15300,945,11850,15000,8095,26500,25100,7990,7345,2360
2025-11-24,5090,3770,7295,11000,2620,15300,940,11530,14550,8100,27650,25150,7950,7690,2350
2025-11-25,5190,3820,7295,10810,2500,15700,940,11820,14650,8190,26500,25400,7970,7690,2325
2025-11-26,5150,3820,7290,10950,2500,15500,900,11800,15280,8120,26210,25600,7900,7790,2300
2025-11-27,5170,3800,7290,10850,2500,15500,940,11500,15275,7995,26350,25405,7900,7790,2325
