symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/11/2024;23750;23750;23700;23700;29162
SNTS.sn;04/11/2024;23555;23600;23555;23600;6140
SNTS.sn;05/11/2024;23750;23750;23600;23600;33486
SNTS.sn;06/11/2024;23600;23600;23600;23600;6477
SNTS.sn;07/11/2024;23600;23600;23600;23600;7172
SNTS.sn;08/11/2024;23690;23705;23690;23705;1937
SNTS.sn;11/11/2024;23710;23710;23700;23700;15516
SNTS.sn;12/11/2024;23680;23750;23680;23750;22352
SNTS.sn;13/11/2024;23700;23850;23700;23850;18996
SNTS.sn;14/11/2024;23850;23850;23800;23800;1531
SNTS.sn;15/11/2024;23850;23850;23800;23800;1531
SNTS.sn;18/11/2024;23750;23750;23705;23705;11043
SNTS.sn;19/11/2024;23700;23705;23700;23705;5450
SNTS.sn;20/11/2024;23700;23700;23700;23700;6964
SNTS.sn;21/11/2024;23700;23700;23650;23650;14914
SNTS.sn;22/11/2024;23700;23800;23700;23800;2792
SNTS.sn;25/11/2024;23750;23750;23700;23700;10791
SNTS.sn;26/11/2024;23700;23700;23650;23650;6364
SNTS.sn;27/11/2024;23700;23700;23650;23650;1398
SNTS.sn;28/11/2024;23700;23700;23700;23700;3457
SNTS.sn;29/11/2024;23650;23750;23650;23750;8391
SNTS.sn;02/12/2024;23750;23750;23680;23680;3873
SNTS.sn;03/12/2024;23700;23700;23695;23695;11323
SNTS.sn;04/12/2024;23695;23725;23695;23725;94582
SNTS.sn;05/12/2024;23700;23850;23700;23850;6306
SNTS.sn;06/12/2024;23850;23850;23850;23850;2149
SNTS.sn;09/12/2024;23850;23900;23850;23900;3029
SNTS.sn;10/12/2024;23900;23900;23900;23900;6631
SNTS.sn;11/12/2024;23850;24000;23850;24000;37366
SNTS.sn;12/12/2024;24000;24000;23750;23750;7730
SNTS.sn;13/12/2024;23900;24000;23900;24000;2341
SNTS.sn;16/12/2024;23900;23900;23900;23900;4572
SNTS.sn;17/12/2024;23900;23900;23895;23895;1644
SNTS.sn;18/12/2024;23895;24000;23895;24000;13496
SNTS.sn;19/12/2024;24000;24000;23800;23800;10524
SNTS.sn;20/12/2024;23800;24000;23800;24000;4090
SNTS.sn;23/12/2024;24000;24000;24000;24000;2338
SNTS.sn;24/12/2024;24000;24000;24000;24000;1681
SNTS.sn;25/12/2024;23900;24000;23900;24000;1681
SNTS.sn;26/12/2024;23900;23900;23900;23900;1975
SNTS.sn;27/12/2024;23850;23850;23850;23850;2130
SNTS.sn;30/12/2024;23850;23850;23800;23800;7264
SNTS.sn;31/12/2024;23790;24000;23790;24000;21957
ORAC.ci;01/11/2024;16200;16200;15800;15800;523
ORAC.ci;04/11/2024;15725;16100;15725;16100;678
ORAC.ci;05/11/2024;16100;16100;15905;15905;670
ORAC.ci;06/11/2024;15900;15905;15900;15905;1980
ORAC.ci;07/11/2024;15850;16100;15850;16100;831
ORAC.ci;08/11/2024;16195;16195;16175;16175;5847
ORAC.ci;11/11/2024;17000;17385;17000;17385;3262
ORAC.ci;12/11/2024;17600;17600;16630;16630;3354
ORAC.ci;13/11/2024;17200;17200;17000;17000;324
ORAC.ci;14/11/2024;17295;17295;17095;17095;692
ORAC.ci;15/11/2024;17295;17295;17095;17095;692
ORAC.ci;18/11/2024;17100;17200;17100;17200;7134
ORAC.ci;19/11/2024;17100;17350;17100;17350;1965
ORAC.ci;20/11/2024;17350;17350;17350;17350;1922
ORAC.ci;21/11/2024;17340;17340;17300;17300;754
ORAC.ci;22/11/2024;17300;17350;17300;17350;2320
ORAC.ci;25/11/2024;17350;17350;17340;17340;790
ORAC.ci;26/11/2024;17300;17340;17300;17340;885
ORAC.ci;27/11/2024;17340;17350;17340;17350;985
ORAC.ci;28/11/2024;17350;17350;17350;17350;480
ORAC.ci;29/11/2024;17340;17350;17340;17350;1703
ORAC.ci;02/12/2024;17300;17300;17300;17300;3225
ORAC.ci;03/12/2024;17350;17350;17350;17350;3132
ORAC.ci;04/12/2024;17300;17300;17300;17300;310
ORAC.ci;05/12/2024;17300;17500;17300;17500;7786
ORAC.ci;06/12/2024;17500;17500;17500;17500;8680
ORAC.ci;09/12/2024;17500;17500;17400;17400;3291
ORAC.ci;10/12/2024;17400;17500;17400;17500;3592
ORAC.ci;11/12/2024;17500;17500;17450;17450;4106
ORAC.ci;12/12/2024;17450;17450;17450;17450;12923
ORAC.ci;13/12/2024;17450;17500;17450;17500;19199
ORAC.ci;16/12/2024;17500;17500;17500;17500;1839
ORAC.ci;17/12/2024;17500;17500;17450;17450;14185
ORAC.ci;18/12/2024;17500;17500;17105;17105;3528
ORAC.ci;19/12/2024;17360;17400;17360;17400;20124
ORAC.ci;20/12/2024;17400;17400;17200;17200;795
ORAC.ci;23/12/2024;17300;17500;17300;17500;290
ORAC.ci;24/12/2024;17000;17000;17000;17000;67936
ORAC.ci;25/12/2024;17360;17360;17000;17000;67936
ORAC.ci;26/12/2024;17000;17000;17000;17000;21174
ORAC.ci;27/12/2024;17000;17000;17000;17000;290
ORAC.ci;30/12/2024;17000;17000;17000;17000;1407
ORAC.ci;31/12/2024;17000;17500;17000;17500;8308
ECOC.ci;01/11/2024;8595;8595;8550;8550;199
ECOC.ci;04/11/2024;8550;8550;8500;8500;598
ECOC.ci;05/11/2024;8500;8545;8500;8545;479
ECOC.ci;06/11/2024;8545;8590;8545;8590;1309
ECOC.ci;07/11/2024;8575;8575;8480;8480;350819
ECOC.ci;08/11/2024;8480;8480;8480;8480;600
ECOC.ci;11/11/2024;8480;8480;8380;8380;1823
ECOC.ci;12/11/2024;8380;8380;8380;8380;647
ECOC.ci;13/11/2024;8400;8500;8400;8500;699
ECOC.ci;14/11/2024;8500;8500;8300;8300;6404
ECOC.ci;15/11/2024;8500;8500;8300;8300;6404
ECOC.ci;18/11/2024;8400;8490;8400;8490;2115
ECOC.ci;19/11/2024;8300;8490;8300;8490;2132
ECOC.ci;20/11/2024;8490;8490;8325;8325;3870
ECOC.ci;21/11/2024;8325;8325;8325;8325;1628
ECOC.ci;22/11/2024;8325;8450;8325;8450;228
ECOC.ci;25/11/2024;8425;8425;8305;8305;5923
ECOC.ci;26/11/2024;8305;8400;8305;8400;2039
ECOC.ci;27/11/2024;8400;8400;8400;8400;115
ECOC.ci;28/11/2024;8350;8595;8350;8595;1711
ECOC.ci;29/11/2024;8595;8595;8595;8595;340
ECOC.ci;02/12/2024;8590;8590;8500;8500;615
ECOC.ci;03/12/2024;8320;8590;8320;8590;8909
ECOC.ci;04/12/2024;8590;8590;8590;8590;178
ECOC.ci;05/12/2024;8590;8595;8590;8595;340
ECOC.ci;06/12/2024;8595;8925;8595;8925;802
ECOC.ci;09/12/2024;8925;8925;8925;8925;307
ECOC.ci;10/12/2024;8800;8800;8690;8690;73
ECOC.ci;11/12/2024;8775;8800;8775;8800;4314
ECOC.ci;12/12/2024;8700;8800;8700;8800;1746
ECOC.ci;13/12/2024;8800;8900;8800;8900;249
ECOC.ci;16/12/2024;8900;8900;8900;8900;699
