symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/04/2025;25190;25200;25190;25200;1119
SNTS.sn;02/04/2025;25200;25300;25200;25300;3818
SNTS.sn;03/04/2025;25300;25300;25100;25100;3064
SNTS.sn;04/04/2025;25390;25390;25305;25305;195
SNTS.sn;07/04/2025;25300;25300;25100;25100;1009
SNTS.sn;08/04/2025;25200;25200;25200;25200;6860
SNTS.sn;09/04/2025;25150;25150;25150;25150;18375
SNTS.sn;10/04/2025;25190;25190;25100;25100;1288
SNTS.sn;11/04/2025;25120;25120;25000;25000;1606
SNTS.sn;14/04/2025;25000;25000;24990;24990;2956
SNTS.sn;15/04/2025;24950;24950;24935;24935;3844
SNTS.sn;16/04/2025;24895;24895;24890;24890;2298
SNTS.sn;17/04/2025;24890;24895;24890;24895;5381
SNTS.sn;18/04/2025;24695;24695;24000;24000;8517
SNTS.sn;21/04/2025;24695;24695;24000;24000;8517
SNTS.sn;22/04/2025;24500;24500;24000;24000;26210
SNTS.sn;23/04/2025;24935;24935;24900;24900;1803
SNTS.sn;24/04/2025;24900;24900;24500;24500;1507
SNTS.sn;25/04/2025;24500;24850;24500;24850;554
SNTS.sn;28/04/2025;24900;24900;24900;24900;736
SNTS.sn;29/04/2025;24900;24990;24900;24990;4274
SNTS.sn;30/04/2025;24990;25100;24990;25100;976
SNTS.sn;01/05/2025;24990;25100;24990;25100;976
SNTS.sn;02/05/2025;25500;25895;25500;25895;1237
SNTS.sn;05/05/2025;25605;26000;25605;26000;1720
SNTS.sn;06/05/2025;26390;26500;26390;26500;46754
SNTS.sn;07/05/2025;26110;26500;26110;26500;1335
SNTS.sn;08/05/2025;26500;26500;26485;26485;6583
SNTS.sn;09/05/2025;26485;26600;26485;26600;17574
SNTS.sn;12/05/2025;26600;26700;26600;26700;7446
SNTS.sn;13/05/2025;26605;26700;26605;26700;5931
SNTS.sn;14/05/2025;26550;26750;26550;26750;5857
SNTS.sn;15/05/2025;26750;26750;26750;26750;2233
SNTS.sn;16/05/2025;26700;26700;26600;26600;2450
SNTS.sn;19/05/2025;26600;26600;26600;26600;69455
SNTS.sn;20/05/2025;26450;26495;26450;26495;22722
SNTS.sn;21/05/2025;26000;26000;25950;25950;6546
