symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;02/06/2025;25005;25005;25000;25000;21488
SNTS.sn;03/06/2025;25600;25600;25000;25000;4662
SNTS.sn;04/06/2025;25000;25000;25000;25000;73169
SNTS.sn;05/06/2025;25000;25000;25000;25000;5889
SNTS.sn;10/06/2025;25000;25000;25000;25000;19045
SNTS.sn;11/06/2025;25005;25005;25000;25000;35662
SNTS.sn;12/06/2025;25010;25010;25000;25000;19553
SNTS.sn;13/06/2025;25000;25000;24900;24900;21005
SNTS.sn;16/06/2025;25000;25000;24900;24900;4109
SNTS.sn;17/06/2025;24905;25480;24905;25480;11366
SNTS.sn;18/06/2025;25450;25500;25450;25500;7392
SNTS.sn;19/06/2025;25400;25615;25400;25615;7861
SNTS.sn;20/06/2025;26400;26400;25950;25950;21043
SNTS.sn;23/06/2025;25505;25505;25500;25500;3791
SNTS.sn;24/06/2025;25300;25500;25300;25500;6952
SNTS.sn;25/06/2025;25005;25500;25005;25500;25845
SNTS.sn;26/06/2025;26000;26000;26000;26000;221
SNTS.sn;27/06/2025;25500;25500;24900;24900;5736
SNTS.sn;30/06/2025;25500;25800;25500;25800;5641
SNTS.sn;01/07/2025;25795;25795;25200;25200;2828
SNTS.sn;02/07/2025;25010;25080;25010;25080;4814
SNTS.sn;03/07/2025;25080;25980;25080;25980;22987
SNTS.sn;04/07/2025;25200;25975;25200;25975;4554
SNTS.sn;07/07/2025;25000;25500;25000;25500;972
SNTS.sn;08/07/2025;25050;25100;25050;25100;1653
SNTS.sn;09/07/2025;25100;25100;25000;25000;2357
SNTS.sn;10/07/2025;25050;26000;25050;26000;3253
SNTS.sn;11/07/2025;25100;25500;25100;25500;1518
SNTS.sn;14/07/2025;25500;25500;25105;25105;1489
SNTS.sn;15/07/2025;25105;25200;25105;25200;1755
SNTS.sn;16/07/2025;25200;25500;25200;25500;25217
SNTS.sn;17/07/2025;25200;25200;25200;25200;11808
SNTS.sn;18/07/2025;25100;25400;25100;25400;1039
SNTS.sn;21/07/2025;25100;25350;25100;25350;5275
SNTS.sn;22/07/2025;25000;25100;25000;25100;6157
SNTS.sn;23/07/2025;25100;25100;25100;25100;5134
SNTS.sn;24/07/2025;25100;25100;25000;25000;19407
SNTS.sn;25/07/2025;25000;25990;25000;25990;7002
SNTS.sn;28/07/2025;25990;25990;25000;25000;24282
SNTS.sn;29/07/2025;25000;25350;25000;25350;6987
SNTS.sn;30/07/2025;25100;25100;25000;25000;3545
SNTS.sn;31/07/2025;25000;25000;25000;25000;3170
ORAC.ci;02/06/2025;15790;15790;15785;15785;807
ORAC.ci;03/06/2025;14925;15775;14925;15775;1068
ORAC.ci;04/06/2025;15775;15775;15555;15555;575
ORAC.ci;05/06/2025;15550;15550;15550;15550;1018
ORAC.ci;10/06/2025;15555;15750;15555;15750;958
ORAC.ci;11/06/2025;16000;16000;15750;15750;561
ORAC.ci;12/06/2025;15650;15915;15650;15915;7335
ORAC.ci;13/06/2025;15600;15600;15600;15600;8087
ORAC.ci;16/06/2025;15600;15600;15500;15500;1779
ORAC.ci;17/06/2025;15500;15550;15500;15550;3811
ORAC.ci;18/06/2025;15500;15500;15400;15400;923
ORAC.ci;19/06/2025;15025;15400;15025;15400;1558
ORAC.ci;20/06/2025;15400;15500;15400;15500;3207
ORAC.ci;23/06/2025;15400;15500;15400;15500;11706
ORAC.ci;24/06/2025;15000;15490;15000;15490;2273
ORAC.ci;25/06/2025;15400;15400;15000;15000;2802
ORAC.ci;26/06/2025;15000;15390;15000;15390;3779
ORAC.ci;27/06/2025;15390;15390;15390;15390;509
ORAC.ci;30/06/2025;14800;15350;14800;15350;809
ORAC.ci;01/07/2025;15250;15250;15000;15000;1454
ORAC.ci;02/07/2025;15000;15000;14500;14500;1872
ORAC.ci;03/07/2025;14005;14500;14005;14500;1841
ORAC.ci;04/07/2025;14500;14500;14405;14405;1030
ORAC.ci;07/07/2025;14400;14500;14400;14500;5578
ORAC.ci;08/07/2025;14500;14500;14490;14490;710
ORAC.ci;09/07/2025;14300;14490;14300;14490;2084
ORAC.ci;10/07/2025;14490;14490;14000;14000;8108
ORAC.ci;11/07/2025;14400;14400;14100;14100;841
ORAC.ci;14/07/2025;14020;14020;14000;14000;4296
ORAC.ci;15/07/2025;14000;14500;14000;14500;6649
ORAC.ci;16/07/2025;14510;15000;14510;15000;5321
ORAC.ci;17/07/2025;15325;15325;14500;14500;2372
ORAC.ci;18/07/2025;14510;14510;14500;14500;527
ORAC.ci;21/07/2025;14500;14500;14200;14200;887
ORAC.ci;22/07/2025;14595;14595;14595;14595;971
ORAC.ci;23/07/2025;14595;14595;14300;14300;3908
ORAC.ci;24/07/2025;14300;14300;14250;14250;2112
ORAC.ci;25/07/2025;14200;14200;14000;14000;1700
ORAC.ci;28/07/2025;14000;14100;14000;14100;2647
ORAC.ci;29/07/2025;14100;14100;14000;14000;1731
ORAC.ci;30/07/2025;14000;14100;14000;14100;1354
ORAC.ci;31/07/2025;14100;14100;14050;14050;487
ECOC.ci;02/06/2025;11200;11200;11000;11000;1402
ECOC.ci;03/06/2025;10175;10185;10175;10185;3273
ECOC.ci;04/06/2025;10185;10185;10175;10175;969
ECOC.ci;05/06/2025;10170;10200;10170;10200;1555
ECOC.ci;10/06/2025;10200;10400;10200;10400;1134
ECOC.ci;11/06/2025;9900;11150;9900;11150;1708
ECOC.ci;12/06/2025;10315;11000;10315;11000;616
ECOC.ci;13/06/2025;10875;11000;10875;11000;609
ECOC.ci;16/06/2025;10880;10885;10880;10885;8104
ECOC.ci;17/06/2025;10880;10900;10880;10900;1306
ECOC.ci;18/06/2025;10885;10995;10885;10995;704
ECOC.ci;19/06/2025;10995;11150;10995;11150;2143
ECOC.ci;20/06/2025;11150;11500;11150;11500;1112
ECOC.ci;23/06/2025;11500;11995;11500;11995;1291
ECOC.ci;24/06/2025;11995;11995;11950;11950;2087
ECOC.ci;25/06/2025;11920;11920;11890;11890;350
ECOC.ci;26/06/2025;11890;11890;11890;11890;174
ECOC.ci;27/06/2025;11890;11890;11860;11860;2074
ECOC.ci;30/06/2025;11800;11860;11800;11860;657
ECOC.ci;01/07/2025;11845;11845;11840;11840;3123
ECOC.ci;02/07/2025;11835;11835;11500;11500;895
ECOC.ci;03/07/2025;11500;11500;11500;11500;317
ECOC.ci;04/07/2025;11500;11875;11500;11875;861
ECOC.ci;07/07/2025;11020;11800;11020;11800;1020
ECOC.ci;08/07/2025;11060;11200;11060;11200;255
ECOC.ci;09/07/2025;11200;11290;11200;11290;312
ECOC.ci;10/07/2025;11060;11895;11060;11895;1171
ECOC.ci;11/07/2025;11890;11890;11890;11890;463
ECOC.ci;14/07/2025;11820;11820;11800;11800;939
ECOC.ci;15/07/2025;11650;11800;11650;11800;531
ECOC.ci;16/07/2025;11800;11800;11800;11800;3063
ECOC.ci;17/07/2025;11800;11800;11800;11800;6200
ECOC.ci;18/07/2025;11800;11800;11100;11100;583
ECOC.ci;21/07/2025;11800;11800;11200;11200;460
ECOC.ci;22/07/2025;11200;11700;11200;11700;3156
ECOC.ci;23/07/2025;11700;11700;11695;11695;281
ECOC.ci;24/07/2025;11700;11700;11700;11700;1850
ECOC.ci;25/07/2025;11700;11700;11700;11700;233
ECOC.ci;28/07/2025;11700;11700;11700;11700;422
ECOC.ci;29/07/2025;11600;11600;11600;11600;2285
ECOC.ci;30/07/2025;11600;11600;11600;11600;465
ECOC.ci;31/07/2025;11600;11600;11600;11600;611
BOABF.bf;02/06/2025;3620;3620;3550;3550;2958
BOABF.bf;03/06/2025;3555;3630;3555;3630;850
BOABF.bf;04/06/2025;3630;3735;3630;3735;6213
BOABF.bf;05/06/2025;3750;3750;3735;3735;297
BOABF.bf;10/06/2025;3700;3800;3700;3800;6982
BOABF.bf;11/06/2025;3800;3800;3790;3790;2613
BOABF.bf;12/06/2025;3700;3800;3700;3800;1735
BOABF.bf;13/06/2025;3870;3870;3640;3640;12822
BOABF.bf;16/06/2025;3780;3790;3780;3790;5613
BOABF.bf;17/06/2025;3630;3650;3630;3650;1460
BOABF.bf;18/06/2025;3650;3650;3650;3650;1033
BOABF.bf;19/06/2025;3640;3650;3640;3650;4283
BOABF.bf;20/06/2025;3650;3650;3650;3650;856
BOABF.bf;23/06/2025;3650;3750;3650;3750;1536
BOABF.bf;24/06/2025;3750;3750;3550;3550;17697
BOABF.bf;25/06/2025;3575;3600;3575;3600;992
BOABF.bf;26/06/2025;3600;3600;3595;3595;8896
BOABF.bf;27/06/2025;3595;3595;3580;3580;624
BOABF.bf;30/06/2025;3580;3580;3500;3500;2696
BOABF.bf;01/07/2025;3500;3500;3500;3500;6460
BOABF.bf;02/07/2025;3500;3500;3425;3425;2752
BOABF.bf;03/07/2025;3500;3500;3500;3500;1041
BOABF.bf;04/07/2025;3495;3500;3495;3500;6853
BOABF.bf;07/07/2025;3500;3500;3400;3400;1590
BOABF.bf;08/07/2025;3450;3450;3420;3420;1156
BOABF.bf;09/07/2025;3420;3480;3420;3480;9698
BOABF.bf;10/07/2025;3500;3500;3500;3500;1038
BOABF.bf;11/07/2025;3500;3500;3475;3475;3468
BOABF.bf;14/07/2025;3480;3480;3475;3475;4083
BOABF.bf;15/07/2025;3475;3495;3475;3495;4453
BOABF.bf;16/07/2025;3495;3495;3495;3495;2219
BOABF.bf;17/07/2025;3495;3495;3495;3495;1365
BOABF.bf;18/07/2025;3500;3500;3490;3490;673
BOABF.bf;21/07/2025;3490;3490;3475;3475;2659
BOABF.bf;22/07/2025;3475;3485;3475;3485;1810
BOABF.bf;23/07/2025;3590;3590;3570;3570;2052
BOABF.bf;24/07/2025;3585;3585;3565;3565;2130
BOABF.bf;25/07/2025;3500;3565;3500;3565;4909
BOABF.bf;28/07/2025;3565;3565;3550;3550;5131
BOABF.bf;29/07/2025;3550;3565;3550;3565;6694
BOABF.bf;30/07/2025;3565;3570;3565;3570;1298
BOABF.bf;31/07/2025;3590;3590;3590;3590;1309
CIEC.CI;02/06/2025;2300;2395;2300;2395;614
CIEC.CI;03/06/2025;2395;2440;2395;2440;3837
CIEC.CI;04/06/2025;2440;2440;2390;2390;1933
CIEC.CI;05/06/2025;2420;2420;2405;2405;705
CIEC.CI;10/06/2025;2405;2405;2405;2405;5536
CIEC.CI;11/06/2025;2405;2405;2390;2390;3031
CIEC.CI;12/06/2025;2395;2395;2390;2390;1517
CIEC.CI;13/06/2025;2390;2395;2390;2395;1892
CIEC.CI;16/06/2025;2400;2400;2400;2400;1804
CIEC.CI;17/06/2025;2405;2455;2405;2455;1076
CIEC.CI;18/06/2025;2455;2455;2455;2455;1790
CIEC.CI;19/06/2025;2455;2455;2455;2455;2993
CIEC.CI;20/06/2025;2455;2460;2455;2460;2906
CIEC.CI;23/06/2025;2465;2480;2465;2480;10264
CIEC.CI;24/06/2025;2485;2500;2485;2500;3086
CIEC.CI;25/06/2025;2550;2600;2550;2600;1897
CIEC.CI;26/06/2025;2600;2600;2595;2595;13995
CIEC.CI;27/06/2025;2590;2590;2550;2550;1921
CIEC.CI;30/06/2025;2545;2550;2545;2550;3719
CIEC.CI;01/07/2025;2550;2550;2525;2525;4306
CIEC.CI;02/07/2025;2525;2525;2525;2525;6185
CIEC.CI;03/07/2025;2525;2525;2515;2515;2106
CIEC.CI;04/07/2025;2520;2520;2520;2520;1107
CIEC.CI;07/07/2025;2520;2525;2520;2525;2277
CIEC.CI;08/07/2025;2515;2515;2500;2500;975
CIEC.CI;09/07/2025;2500;2500;2500;2500;477
CIEC.CI;10/07/2025;2460;2500;2460;2500;531
CIEC.CI;11/07/2025;2500;2510;2500;2510;1360
CIEC.CI;14/07/2025;2510;2510;2500;2500;2014
CIEC.CI;15/07/2025;2475;2500;2475;2500;1045
CIEC.CI;16/07/2025;2500;2500;2400;2400;3015
CIEC.CI;17/07/2025;2400;2400;2250;2250;16438
CIEC.CI;18/07/2025;2395;2415;2395;2415;3914
CIEC.CI;21/07/2025;2415;2495;2415;2495;810
CIEC.CI;22/07/2025;2490;2490;2490;2490;1489
CIEC.CI;23/07/2025;2490;2490;2450;2450;2189
CIEC.CI;24/07/2025;2490;2490;2430;2430;2205
CIEC.CI;25/07/2025;2430;2430;2400;2400;2342
CIEC.CI;28/07/2025;2400;2400;2400;2400;2614
CIEC.CI;29/07/2025;2390;2390;2370;2370;660
CIEC.CI;30/07/2025;2305;2305;2250;2250;5118
CIEC.CI;31/07/2025;2255;2300;2255;2300;2390
SOGC.ci;02/06/2025;7200;7200;7180;7180;818
SOGC.ci;03/06/2025;7180;7200;7180;7200;4074
SOGC.ci;04/06/2025;7200;7200;7200;7200;14515
SOGC.ci;05/06/2025;7100;7200;7100;7200;3693
SOGC.ci;10/06/2025;7070;7190;7070;7190;3802
SOGC.ci;11/06/2025;7200;7215;7200;7215;1708
SOGC.ci;12/06/2025;7250;7270;7250;7270;680
SOGC.ci;13/06/2025;7280;7600;7280;7600;8715
SOGC.ci;16/06/2025;7600;7605;7600;7605;2687
SOGC.ci;17/06/2025;7610;7740;7610;7740;2598
SOGC.ci;18/06/2025;7750;7985;7750;7985;407
SOGC.ci;19/06/2025;8500;8500;8500;8500;6331
SOGC.ci;20/06/2025;8450;8450;8390;8390;2245
SOGC.ci;23/06/2025;8500;8500;8450;8450;2281
SOGC.ci;24/06/2025;8445;8450;8445;8450;2093
SOGC.ci;25/06/2025;8440;8440;8250;8250;2368
SOGC.ci;26/06/2025;8100;8195;8100;8195;4333
SOGC.ci;27/06/2025;8195;8250;8195;8250;2940
SOGC.ci;30/06/2025;8255;8255;8100;8100;6920
SOGC.ci;01/07/2025;8000;8150;8000;8150;3075
SOGC.ci;02/07/2025;8195;8200;8195;8200;3405
SOGC.ci;03/07/2025;8200;8200;8100;8100;2497
SOGC.ci;04/07/2025;8000;8090;8000;8090;10224
SOGC.ci;07/07/2025;8100;8100;7950;7950;18387
SOGC.ci;08/07/2025;7900;7900;7840;7840;12539
SOGC.ci;09/07/2025;7840;7840;7665;7665;3342
SOGC.ci;10/07/2025;7640;7640;7640;7640;5384
SOGC.ci;11/07/2025;7490;7490;7155;7155;14082
SOGC.ci;14/07/2025;7155;7400;7155;7400;5846
SOGC.ci;15/07/2025;7160;7175;7160;7175;3154
SOGC.ci;16/07/2025;7175;7175;7100;7100;13699
SOGC.ci;17/07/2025;7100;7100;7090;7090;1916
SOGC.ci;18/07/2025;7050;7300;7050;7300;7420
SOGC.ci;21/07/2025;7290;7300;7290;7300;3625
SOGC.ci;22/07/2025;7300;7300;7250;7250;11616
SOGC.ci;23/07/2025;7250;7250;7200;7200;8605
SOGC.ci;24/07/2025;7200;7290;7200;7290;3148
