symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;29/09/2025;25850;25850;25605;25605;2644
SNTS.sn;30/09/2025;25700;25700;25605;25605;2007
SNTS.sn;01/10/2025;25795;25795;25700;25700;1336
SNTS.sn;02/10/2025;25700;25895;25700;25895;3480
SNTS.sn;03/10/2025;25890;25895;25890;25895;1664
SNTS.sn;06/10/2025;25895;26000;25895;26000;11435
SNTS.sn;07/10/2025;25900;26000;25900;26000;7572
SNTS.sn;08/10/2025;26000;26100;26000;26100;50564
SNTS.sn;09/10/2025;26100;26100;26000;26000;8529
SNTS.sn;10/10/2025;25995;26000;25995;26000;2900
SNTS.sn;13/10/2025;26000;26000;25950;25950;14821
SNTS.sn;14/10/2025;26000;26000;25950;25950;3978
SNTS.sn;15/10/2025;25990;26500;25990;26500;23708
SNTS.sn;16/10/2025;26300;26300;26000;26000;8209
SNTS.sn;17/10/2025;26200;26200;26000;26000;3184
SNTS.sn;20/10/2025;26300;26350;26300;26350;5742
SNTS.sn;21/10/2025;26150;26200;26150;26200;21759
SNTS.sn;22/10/2025;26300;26490;26300;26490;7950
SNTS.sn;23/10/2025;26500;26695;26500;26695;8588
SNTS.sn;24/10/2025;26695;26700;26695;26700;5885
SNTS.sn;27/10/2025;26600;26600;26500;26500;4052
SNTS.sn;28/10/2025;26500;26500;26500;26500;7909
SNTS.sn;29/10/2025;26500;26500;26350;26350;10883
SNTS.sn;30/10/2025;26350;26350;26200;26200;2502
SNTS.sn;31/10/2025;26200;26200;26105;26105;2923
SNTS.sn;03/11/2025;26105;26105;26100;26100;33115
SNTS.sn;04/11/2025;26095;26100;26095;26100;43257
SNTS.sn;05/11/2025;26100;26100;26000;26000;2579
SNTS.sn;06/11/2025;26000;26000;25990;25990;2598
SNTS.sn;07/11/2025;26000;26000;26000;26000;0
SNTS.sn;10/11/2025;25990;25990;25900;25900;7040
SNTS.sn;11/11/2025;25900;25900;25600;25600;54748
SNTS.sn;12/11/2025;25900;25900;25455;25455;10311
SNTS.sn;13/11/2025;25500;26000;25500;26000;2779
SNTS.sn;14/11/2025;25600;25600;25500;25500;21842
SNTS.sn;17/11/2025;25000;25500;25000;25500;3322
SNTS.sn;18/11/2025;25100;25100;25000;25000;10562
SNTS.sn;19/11/2025;25500;25500;25400;25400;29111
SNTS.sn;20/11/2025;25500;25500;25500;25500;2061
SNTS.sn;21/11/2025;25500;25500;25100;25100;2246
SNTS.sn;24/11/2025;25000;25150;25000;25150;13475
SNTS.sn;25/11/2025;25300;25400;25300;25400;11633
SNTS.sn;26/11/2025;25500;25600;25500;25600;21639
SNTS.sn;27/11/2025;25450;25450;25405;25405;647
ORAC.ci;29/09/2025;14745;14745;14600;14600;631
ORAC.ci;30/09/2025;14650;14650;14650;14650;843
ORAC.ci;01/10/2025;14800;14800;14800;14800;468
ORAC.ci;02/10/2025;14800;14800;14800;14800;1174
ORAC.ci;03/10/2025;14800;14800;14305;14305;663
ORAC.ci;06/10/2025;14300;14995;14300;14995;1703
ORAC.ci;07/10/2025;14900;14900;14700;14700;1208
ORAC.ci;08/10/2025;14700;14700;14700;14700;896
ORAC.ci;09/10/2025;14600;14700;14600;14700;7087
ORAC.ci;10/10/2025;14255;14550;14255;14550;404
ORAC.ci;13/10/2025;14700;14700;14510;14510;834
ORAC.ci;14/10/2025;14550;14550;14310;14310;1862
ORAC.ci;15/10/2025;14500;14500;14500;14500;1839
ORAC.ci;16/10/2025;14500;14500;14400;14400;1352
ORAC.ci;17/10/2025;14350;14400;14350;14400;1011
ORAC.ci;20/10/2025;14400;14900;14400;14900;11495
ORAC.ci;21/10/2025;15000;15000;14945;14945;2497
ORAC.ci;22/10/2025;14840;15000;14840;15000;1382
ORAC.ci;23/10/2025;15000;15000;14530;14530;7728
ORAC.ci;24/10/2025;14530;14800;14530;14800;1563
ORAC.ci;27/10/2025;14800;14800;14800;14800;1944
ORAC.ci;28/10/2025;14700;14700;14500;14500;8554
ORAC.ci;29/10/2025;14500;14500;14485;14485;1933
ORAC.ci;30/10/2025;14485;14490;14485;14490;3065
ORAC.ci;31/10/2025;14490;14490;14480;14480;852
ORAC.ci;03/11/2025;14400;14405;14400;14405;886
ORAC.ci;04/11/2025;14400;14400;14400;14400;3227
ORAC.ci;05/11/2025;14400;14400;14200;14200;2778
ORAC.ci;06/11/2025;14200;14605;14200;14605;2229
ORAC.ci;07/11/2025;14155;14155;14155;14155;0
ORAC.ci;10/11/2025;14200;14205;14200;14205;27465
ORAC.ci;11/11/2025;14210;14600;14210;14600;10235
ORAC.ci;12/11/2025;14600;14600;14550;14550;503
ORAC.ci;13/11/2025;14500;14500;14280;14280;995
ORAC.ci;14/11/2025;14280;14300;14280;14300;838
ORAC.ci;17/11/2025;14300;14450;14300;14450;540
ORAC.ci;18/11/2025;14300;14450;14300;14450;3652
ORAC.ci;19/11/2025;14450;14500;14450;14500;20702
ORAC.ci;20/11/2025;14450;14700;14450;14700;1639
ORAC.ci;21/11/2025;14700;15000;14700;15000;2309
ORAC.ci;24/11/2025;14990;14990;14550;14550;1157
ORAC.ci;25/11/2025;14650;14650;14650;14650;218
ORAC.ci;26/11/2025;14525;15280;14525;15280;5295
ORAC.ci;27/11/2025;15280;15280;15275;15275;539
ECOC.ci;29/09/2025;12505;12510;12505;12510;1780
ECOC.ci;30/09/2025;12515;12515;12505;12505;1675
ECOC.ci;01/10/2025;12300;12700;12300;12700;2085
ECOC.ci;02/10/2025;12750;13000;12750;13000;982
ECOC.ci;03/10/2025;13200;13200;12710;12710;724
ECOC.ci;06/10/2025;12710;12710;12505;12505;6164
ECOC.ci;07/10/2025;12505;13000;12505;13000;963
ECOC.ci;08/10/2025;13100;13100;13080;13080;340
ECOC.ci;09/10/2025;13100;13150;13100;13150;1186
ECOC.ci;10/10/2025;13200;13200;13200;13200;750
ECOC.ci;13/10/2025;13200;13250;13200;13250;569
ECOC.ci;14/10/2025;13600;13600;13500;13500;963
ECOC.ci;15/10/2025;13500;14300;13500;14300;8838
ECOC.ci;16/10/2025;14300;14300;13750;13750;2487
ECOC.ci;17/10/2025;13750;13810;13750;13810;846
ECOC.ci;20/10/2025;13750;14000;13750;14000;2279
ECOC.ci;21/10/2025;14000;14000;14000;14000;1601
ECOC.ci;22/10/2025;14000;14000;14000;14000;503
ECOC.ci;23/10/2025;14000;14175;14000;14175;335
ECOC.ci;24/10/2025;14175;14175;14100;14100;11986
ECOC.ci;27/10/2025;14200;14890;14200;14890;887
ECOC.ci;28/10/2025;14890;14890;14725;14725;201
ECOC.ci;29/10/2025;14750;14800;14750;14800;2202
ECOC.ci;30/10/2025;14765;15150;14765;15150;1337
ECOC.ci;31/10/2025;15015;15110;15015;15110;687
ECOC.ci;03/11/2025;15110;15200;15110;15200;1743
ECOC.ci;04/11/2025;15110;15200;15110;15200;3543
ECOC.ci;05/11/2025;15990;15990;15500;15500;2508
ECOC.ci;06/11/2025;15500;15700;15500;15700;3619
ECOC.ci;07/11/2025;15750;15750;15750;15750;0
ECOC.ci;10/11/2025;15200;15500;15200;15500;1141
ECOC.ci;11/11/2025;15500;15500;15500;15500;1046
ECOC.ci;12/11/2025;15500;15500;15200;15200;2552
ECOC.ci;13/11/2025;15740;15740;15210;15210;3281
ECOC.ci;14/11/2025;15215;15240;15215;15240;1099
ECOC.ci;17/11/2025;15280;15900;15280;15900;326
ECOC.ci;18/11/2025;15500;15900;15500;15900;543
ECOC.ci;19/11/2025;15600;15900;15600;15900;1840
ECOC.ci;20/11/2025;15800;16000;15800;16000;793
ECOC.ci;21/11/2025;16020;16020;15300;15300;1181
ECOC.ci;24/11/2025;15300;15300;15300;15300;2751
