symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/01/2025;23790;24000;23790;24000;21957
SNTS.sn;02/01/2025;23850;23850;23800;23800;473
SNTS.sn;03/01/2025;23810;24000;23810;24000;588
SNTS.sn;06/01/2025;23900;23900;23900;23900;1067
SNTS.sn;07/01/2025;23850;23850;23800;23800;4096
SNTS.sn;08/01/2025;23840;23840;23800;23800;6037
SNTS.sn;09/01/2025;23800;23850;23800;23850;1708
SNTS.sn;10/01/2025;23850;23900;23850;23900;860
SNTS.sn;13/01/2025;23820;23900;23820;23900;2284
SNTS.sn;14/01/2025;23900;23900;23800;23800;1757
SNTS.sn;15/01/2025;23800;23850;23800;23850;3071
SNTS.sn;16/01/2025;23850;24000;23850;24000;4508
SNTS.sn;17/01/2025;24300;24495;24300;24495;1145
SNTS.sn;20/01/2025;24100;24100;24000;24000;1279
SNTS.sn;21/01/2025;24050;24050;24000;24000;3116
SNTS.sn;22/01/2025;24000;24100;24000;24100;1385
SNTS.sn;23/01/2025;24100;24100;24100;24100;631
SNTS.sn;24/01/2025;24100;24205;24100;24205;1940
SNTS.sn;27/01/2025;24250;24500;24250;24500;4707
SNTS.sn;28/01/2025;24300;25000;24300;25000;1447
SNTS.sn;29/01/2025;24550;25000;24550;25000;3030
SNTS.sn;30/01/2025;24700;24700;24500;24500;4225
SNTS.sn;31/01/2025;24500;24990;24500;24990;709
SNTS.sn;03/02/2025;24990;24990;24855;24855;796
SNTS.sn;04/02/2025;25000;25000;25000;25000;12299
SNTS.sn;05/02/2025;24900;25000;24900;25000;4302
SNTS.sn;06/02/2025;26000;26000;25500;25500;670
SNTS.sn;07/02/2025;25200;25500;25200;25500;4085
SNTS.sn;10/02/2025;25500;25500;25130;25130;1096
SNTS.sn;11/02/2025;25200;25400;25200;25400;905
SNTS.sn;12/02/2025;25495;25500;25495;25500;1786
SNTS.sn;13/02/2025;25400;25495;25400;25495;5964
SNTS.sn;14/02/2025;25495;25500;25495;25500;8608
SNTS.sn;17/02/2025;25300;25300;25000;25000;2440
SNTS.sn;18/02/2025;25400;25500;25400;25500;4683
SNTS.sn;19/02/2025;25500;25500;25500;25500;42331
SNTS.sn;20/02/2025;25990;25990;25950;25950;2076
SNTS.sn;21/02/2025;26300;26425;26300;26425;22531
SNTS.sn;24/02/2025;26300;26500;26300;26500;4717
SNTS.sn;25/02/2025;26400;26400;26000;26000;1735
SNTS.sn;26/02/2025;26000;26000;25795;25795;2694
SNTS.sn;28/02/2025;25800;25800;25760;25760;1272
ORAC.ci;01/01/2025;17000;17500;17000;17500;8308
ORAC.ci;02/01/2025;17400;17500;17400;17500;923
ORAC.ci;03/01/2025;17500;17550;17500;17550;308
ORAC.ci;06/01/2025;17550;17550;17550;17550;1066
ORAC.ci;07/01/2025;17550;17850;17550;17850;2744
ORAC.ci;08/01/2025;19185;19185;17305;17305;11017
ORAC.ci;09/01/2025;17800;17800;17500;17500;851
ORAC.ci;10/01/2025;17500;17500;17005;17005;3453
ORAC.ci;13/01/2025;17500;17800;17500;17800;3726
ORAC.ci;14/01/2025;17790;17790;17150;17150;1008
ORAC.ci;15/01/2025;17050;17150;17050;17150;2345
ORAC.ci;16/01/2025;17150;17205;17150;17205;3279
ORAC.ci;17/01/2025;17985;17985;17500;17500;3116
ORAC.ci;20/01/2025;17585;17585;17500;17500;657
ORAC.ci;21/01/2025;17500;17500;17500;17500;3340
ORAC.ci;22/01/2025;17500;17500;17500;17500;3258
ORAC.ci;23/01/2025;17700;17800;17700;17800;3523
ORAC.ci;24/01/2025;17800;17850;17800;17850;4759
ORAC.ci;27/01/2025;18000;18000;18000;18000;566
ORAC.ci;28/01/2025;18000;18000;18000;18000;458
ORAC.ci;29/01/2025;17800;18000;17800;18000;5250
ORAC.ci;30/01/2025;17900;17900;17895;17895;3872
ORAC.ci;31/01/2025;17895;17895;17700;17700;3361
ORAC.ci;03/02/2025;17700;17700;17700;17700;3694
ORAC.ci;04/02/2025;17700;17800;17700;17800;1205
ORAC.ci;05/02/2025;17500;17800;17500;17800;743
ORAC.ci;06/02/2025;17800;17800;17795;17795;672
ORAC.ci;07/02/2025;17770;17770;17700;17700;180
ORAC.ci;10/02/2025;17700;17700;17500;17500;2071
ORAC.ci;11/02/2025;17500;17500;17500;17500;1387
ORAC.ci;12/02/2025;17500;17655;17500;17655;3839
ORAC.ci;13/02/2025;17655;17700;17655;17700;1467
ORAC.ci;14/02/2025;17695;17695;17655;17655;910
ORAC.ci;17/02/2025;17600;17600;17600;17600;1545
ORAC.ci;18/02/2025;17500;17500;17300;17300;2237
ORAC.ci;19/02/2025;17600;17600;17600;17600;1282
ORAC.ci;20/02/2025;17650;17985;17650;17985;1566
ORAC.ci;21/02/2025;18000;18000;18000;18000;1883
ORAC.ci;24/02/2025;17985;17985;17580;17580;17663
ORAC.ci;25/02/2025;17200;17200;17200;17200;5581
ORAC.ci;26/02/2025;16850;17500;16850;17500;3612
ORAC.ci;28/02/2025;17600;17600;17600;17600;355
ECOC.ci;01/01/2025;8655;8795;8655;8795;245
ECOC.ci;02/01/2025;8750;8750;8750;8750;38
ECOC.ci;03/01/2025;8655;8655;8600;8600;2628
ECOC.ci;06/01/2025;8600;8600;8600;8600;935
ECOC.ci;07/01/2025;8595;8595;8450;8450;845
ECOC.ci;08/01/2025;8600;8600;8500;8500;674
ECOC.ci;09/01/2025;8450;8450;8450;8450;385
ECOC.ci;10/01/2025;8500;8500;8500;8500;337
ECOC.ci;13/01/2025;8400;8400;8400;8400;936
ECOC.ci;14/01/2025;8325;8325;8300;8300;661
ECOC.ci;15/01/2025;8300;8300;8200;8200;1087
ECOC.ci;16/01/2025;8210;8450;8210;8450;1501
ECOC.ci;17/01/2025;8450;8500;8450;8500;319
ECOC.ci;20/01/2025;8450;8500;8450;8500;853
ECOC.ci;21/01/2025;8500;8500;8250;8250;1495
ECOC.ci;22/01/2025;8300;8435;8300;8435;344
ECOC.ci;23/01/2025;8435;8435;8400;8400;268
ECOC.ci;24/01/2025;8400;8400;8400;8400;46
ECOC.ci;27/01/2025;8400;8600;8400;8600;53
ECOC.ci;28/01/2025;8600;8600;8400;8400;2245
ECOC.ci;29/01/2025;7770;8300;7770;8300;655
ECOC.ci;30/01/2025;8300;8300;8200;8200;496
ECOC.ci;31/01/2025;8200;8600;8200;8600;4252
ECOC.ci;03/02/2025;8050;8400;8050;8400;1064
ECOC.ci;04/02/2025;8200;8730;8200;8730;644
ECOC.ci;05/02/2025;8400;8400;8400;8400;432
ECOC.ci;06/02/2025;8300;8300;8300;8300;833
ECOC.ci;07/02/2025;8250;8400;8250;8400;772
ECOC.ci;10/02/2025;8400;8400;8390;8390;315
ECOC.ci;11/02/2025;8390;8390;8375;8375;211
ECOC.ci;12/02/2025;8375;8400;8375;8400;807
ECOC.ci;13/02/2025;8400;8400;8310;8310;982
ECOC.ci;14/02/2025;8310;8400;8310;8400;870
ECOC.ci;17/02/2025;8800;8800;8800;8800;2235
ECOC.ci;18/02/2025;8895;8895;8850;8850;353
ECOC.ci;19/02/2025;8850;8885;8850;8885;252
ECOC.ci;20/02/2025;8885;8885;8885;8885;1229
ECOC.ci;21/02/2025;8700;8885;8700;8885;411
ECOC.ci;24/02/2025;8885;8885;8880;8880;43
ECOC.ci;25/02/2025;8800;8880;8800;8880;178
ECOC.ci;26/02/2025;8880;8885;8880;8885;216
ECOC.ci;28/02/2025;8800;8880;8800;8880;217
BOABF.bf;01/01/2025;3030;3035;3030;3035;843
BOABF.bf;02/01/2025;3035;3035;3035;3035;311
BOABF.bf;03/01/2025;3030;3030;3025;3025;1624
BOABF.bf;06/01/2025;3035;3035;3005;3005;4819
BOABF.bf;07/01/2025;3000;3005;3000;3005;1688
BOABF.bf;08/01/2025;3005;3005;3000;3000;518
BOABF.bf;09/01/2025;3000;3025;3000;3025;609
BOABF.bf;10/01/2025;3035;3035;3035;3035;1093
BOABF.bf;13/01/2025;3035;3035;3035;3035;3305
BOABF.bf;14/01/2025;3035;3035;3035;3035;1860
BOABF.bf;15/01/2025;3030;3035;3030;3035;600
BOABF.bf;16/01/2025;3035;3035;3035;3035;1482
BOABF.bf;17/01/2025;3020;3035;3020;3035;1100
BOABF.bf;20/01/2025;3035;3035;3000;3000;2933
BOABF.bf;21/01/2025;3000;3000;3000;3000;2038
BOABF.bf;22/01/2025;3185;3185;3000;3000;269
BOABF.bf;23/01/2025;3000;3000;3000;3000;889
BOABF.bf;24/01/2025;3000;3010;3000;3010;362
BOABF.bf;27/01/2025;3180;3185;3180;3185;190
BOABF.bf;28/01/2025;3015;3025;3015;3025;560
BOABF.bf;29/01/2025;3100;3150;3100;3150;430
BOABF.bf;30/01/2025;3180;3180;3175;3175;1339
BOABF.bf;31/01/2025;3175;3180;3175;3180;3626
BOABF.bf;03/02/2025;3180;3195;3180;3195;310
BOABF.bf;04/02/2025;3200;3200;3200;3200;900
BOABF.bf;05/02/2025;3180;3300;3180;3300;198
BOABF.bf;06/02/2025;3300;3350;3300;3350;1944
BOABF.bf;07/02/2025;3390;3390;3390;3390;2342
BOABF.bf;10/02/2025;3395;3395;3375;3375;4475
BOABF.bf;11/02/2025;3390;3390;3340;3340;2516
BOABF.bf;12/02/2025;3390;3390;3380;3380;1781
BOABF.bf;13/02/2025;3380;3400;3380;3400;3235
BOABF.bf;14/02/2025;3400;3400;3400;3400;3891
BOABF.bf;17/02/2025;3480;3480;3475;3475;1187
BOABF.bf;18/02/2025;3475;3490;3475;3490;3530
BOABF.bf;19/02/2025;3400;3470;3400;3470;2106
BOABF.bf;20/02/2025;3470;3495;3470;3495;9949
BOABF.bf;21/02/2025;3490;3495;3490;3495;2757
BOABF.bf;24/02/2025;3450;3525;3450;3525;5339
BOABF.bf;25/02/2025;3525;3525;3445;3445;12658
BOABF.bf;26/02/2025;3450;3455;3450;3455;559
BOABF.bf;28/02/2025;3440;3450;3440;3450;490
CIEC.ci;01/01/2025;2195;2195;2195;2195;357
CIEC.ci;02/01/2025;2200;2200;2195;2195;127
CIEC.ci;03/01/2025;2200;2200;2190;2190;997
CIEC.ci;06/01/2025;2190;2190;2190;2190;1330
CIEC.ci;07/01/2025;2190;2190;2190;2190;5163
CIEC.ci;08/01/2025;2100;2180;2100;2180;1998
CIEC.ci;09/01/2025;2100;2175;2100;2175;1688
CIEC.ci;10/01/2025;2175;2175;2175;2175;727
CIEC.ci;13/01/2025;2175;2185;2175;2185;603
CIEC.ci;14/01/2025;2190;2190;2190;2190;2918
CIEC.ci;15/01/2025;2185;2185;2185;2185;6237
CIEC.ci;16/01/2025;2185;2185;2185;2185;1216
CIEC.ci;17/01/2025;2185;2185;2185;2185;1436
CIEC.ci;20/01/2025;2185;2185;2180;2180;1043
CIEC.ci;21/01/2025;2185;2185;2185;2185;2443
CIEC.ci;22/01/2025;2185;2185;2170;2170;2233
CIEC.ci;23/01/2025;2170;2190;2170;2190;999
CIEC.ci;24/01/2025;2185;2185;2105;2105;3558
CIEC.ci;27/01/2025;2185;2185;2185;2185;1889
CIEC.ci;28/01/2025;2185;2185;2180;2180;4498
CIEC.ci;29/01/2025;2175;2180;2175;2180;2173
CIEC.ci;30/01/2025;2140;2180;2140;2180;2731
CIEC.ci;31/01/2025;2170;2180;2170;2180;2954
CIEC.ci;03/02/2025;2180;2180;2180;2180;2226
CIEC.ci;04/02/2025;2180;2180;2180;2180;4813
CIEC.ci;05/02/2025;2180;2200;2180;2200;2070
CIEC.ci;06/02/2025;2245;2245;2200;2200;5970
CIEC.ci;07/02/2025;2245;2245;2200;2200;5561
CIEC.ci;10/02/2025;2205;2205;2200;2200;4007
CIEC.ci;11/02/2025;2205;2205;2200;2200;15550
CIEC.ci;12/02/2025;2300;2300;2300;2300;442
CIEC.ci;13/02/2025;2300;2300;2300;2300;1255
CIEC.ci;14/02/2025;2300;2300;2200;2200;1605
CIEC.ci;17/02/2025;2200;2240;2200;2240;1158
CIEC.ci;18/02/2025;2230;2235;2230;2235;2704
CIEC.ci;19/02/2025;2235;2235;2235;2235;1887
CIEC.ci;20/02/2025;2235;2235;2230;2230;1338
CIEC.ci;21/02/2025;2225;2225;2225;2225;2675
CIEC.ci;24/02/2025;2225;2225;2225;2225;1694
CIEC.ci;25/02/2025;2220;2230;2220;2230;2845
CIEC.ci;26/02/2025;2225;2225;2225;2225;3196
CIEC.ci;28/02/2025;2350;2380;2350;2380;785
SOGC.ci;01/01/2025;4555;4610;4555;4610;4453
SOGC.ci;02/01/2025;4615;4615;4615;4615;81
SOGC.ci;03/01/2025;4610;4610;4610;4610;353
SOGC.ci;06/01/2025;4610;4610;4600;4600;326
SOGC.ci;07/01/2025;4600;4600;4555;4555;1568
SOGC.ci;08/01/2025;4600;4600;4520;4520;6716
SOGC.ci;09/01/2025;4520;4595;4520;4595;213
SOGC.ci;10/01/2025;4600;4600;4595;4595;547
SOGC.ci;13/01/2025;4520;4520;4415;4415;287
SOGC.ci;14/01/2025;4420;4420;4410;4410;7038
SOGC.ci;15/01/2025;4380;4450;4380;4450;809
SOGC.ci;16/01/2025;4400;4420;4400;4420;1303
SOGC.ci;17/01/2025;4390;4500;4390;4500;3812
SOGC.ci;20/01/2025;4500;4500;4500;4500;440
SOGC.ci;21/01/2025;4500;4500;4490;4490;14168
SOGC.ci;22/01/2025;4410;4410;4400;4400;1234
SOGC.ci;23/01/2025;4400;4490;4400;4490;218
SOGC.ci;24/01/2025;4490;4490;4490;4490;1942
SOGC.ci;27/01/2025;4485;4490;4485;4490;178
SOGC.ci;28/01/2025;4410;4490;4410;4490;6732
SOGC.ci;29/01/2025;4490;4490;4490;4490;3251
SOGC.ci;30/01/2025;4495;4495;4490;4490;6439
SOGC.ci;31/01/2025;4485;4490;4485;4490;4341
SOGC.ci;03/02/2025;4490;4490;4375;4375;1419
SOGC.ci;04/02/2025;4490;4490;4480;4480;703
SOGC.ci;05/02/2025;4480;4700;4480;4700;3456
SOGC.ci;06/02/2025;4700;4700;4700;4700;488
SOGC.ci;07/02/2025;4700;4700;4700;4700;4811
SOGC.ci;10/02/2025;4750;4750;4700;4700;332
SOGC.ci;11/02/2025;4700;4700;4700;4700;423
SOGC.ci;12/02/2025;4700;4700;4700;4700;13457
SOGC.ci;13/02/2025;4700;4700;4700;4700;8084
SOGC.ci;14/02/2025;4740;4740;4700;4700;4392
SOGC.ci;17/02/2025;4710;4710;4700;4700;2852
SOGC.ci;18/02/2025;4700;4710;4700;4710;9515
SOGC.ci;19/02/2025;4710;4710;4710;4710;1128
SOGC.ci;20/02/2025;4710;4750;4710;4750;1366
SOGC.ci;21/02/2025;4750;4925;4750;4925;5206
SOGC.ci;24/02/2025;4925;4925;4925;4925;226
SOGC.ci;25/02/2025;4925;4925;4925;4925;1649
SOGC.ci;26/02/2025;4950;4950;4925;4925;19184
SOGC.ci;28/02/2025;4900;4900;4900;4900;662
SGBC.ci;01/01/2025;19910;21000;19910;21000;1294
SGBC.ci;02/01/2025;20030;20800;20030;20800;119
SGBC.ci;03/01/2025;20800;20800;20800;20800;71
SGBC.ci;06/01/2025;20500;20500;20485;20485;483
SGBC.ci;07/01/2025;20490;20490;20100;20100;537
SGBC.ci;08/01/2025;20100;20190;20100;20190;1919
SGBC.ci;09/01/2025;20200;20200;19035;19035;6648
SGBC.ci;10/01/2025;20000;20000;20000;20000;487
SGBC.ci;13/01/2025;19600;19600;19600;19600;358
SGBC.ci;14/01/2025;19750;20000;19750;20000;823
SGBC.ci;15/01/2025;19600;20000;19600;20000;1438
SGBC.ci;16/01/2025;20000;20000;20000;20000;385
SGBC.ci;17/01/2025;20000;20000;20000;20000;750
SGBC.ci;20/01/2025;19995;20000;19995;20000;176
SGBC.ci;21/01/2025;20000;20000;19810;19810;2150
SGBC.ci;22/01/2025;20000;20000;20000;20000;796
SGBC.ci;23/01/2025;20000;20000;20000;20000;677
SGBC.ci;24/01/2025;20000;20000;20000;20000;217
SGBC.ci;27/01/2025;20000;20000;20000;20000;652
SGBC.ci;28/01/2025;20005;20025;20005;20025;730
SGBC.ci;29/01/2025;20500;20500;20500;20500;672
SGBC.ci;30/01/2025;20505;20895;20505;20895;1275
SGBC.ci;31/01/2025;20795;20895;20795;20895;1786
SGBC.ci;03/02/2025;20895;20895;20800;20800;1114
SGBC.ci;04/02/2025;20790;21000;20790;21000;2733
SGBC.ci;05/02/2025;21000;21455;21000;21455;395
SGBC.ci;06/02/2025;21455;21890;21455;21890;2490
SGBC.ci;07/02/2025;21890;22500;21890;22500;414
SGBC.ci;10/02/2025;22495;22495;22200;22200;853
SGBC.ci;11/02/2025;22095;22095;21995;21995;1224
SGBC.ci;12/02/2025;21980;21990;21980;21990;1957
SGBC.ci;13/02/2025;21995;21995;21000;21000;2302
SGBC.ci;14/02/2025;21895;21995;21895;21995;652
SGBC.ci;17/02/2025;22000;22000;21990;21990;832
SGBC.ci;18/02/2025;21990;21990;21850;21850;1655
SGBC.ci;19/02/2025;21850;21900;21850;21900;1419
SGBC.ci;20/02/2025;21900;21900;21900;21900;220
SGBC.ci;21/02/2025;21900;21900;21900;21900;39547
SGBC.ci;24/02/2025;21900;21900;21900;21900;168
SGBC.ci;25/02/2025;21800;21800;21700;21700;2005
SGBC.ci;26/02/2025;21990;22000;21990;22000;6741
SGBC.ci;28/02/2025;22500;22500;22005;22005;1169
BOAC.ci;01/01/2025;4995;4995;4995;4995;3962
BOAC.ci;02/01/2025;4995;4995;4995;4995;2536
BOAC.ci;03/01/2025;4800;4995;4800;4995;568
BOAC.ci;06/01/2025;4990;4990;4990;4990;1147
BOAC.ci;07/01/2025;4990;4990;4990;4990;1755
BOAC.ci;08/01/2025;4990;4990;4990;4990;518
BOAC.ci;09/01/2025;4815;4985;4815;4985;3122
BOAC.ci;10/01/2025;4985;4985;4985;4985;2130
BOAC.ci;13/01/2025;4980;4980;4960;4960;406
BOAC.ci;14/01/2025;4960;4960;4850;4850;1469
BOAC.ci;15/01/2025;4855;4885;4855;4885;3911
BOAC.ci;16/01/2025;4885;4885;4885;4885;1170
BOAC.ci;17/01/2025;4885;4885;4855;4855;1276
BOAC.ci;20/01/2025;4855;4855;4855;4855;1460
BOAC.ci;21/01/2025;4860;4860;4860;4860;549
BOAC.ci;22/01/2025;4855;4860;4855;4860;822
BOAC.ci;23/01/2025;4850;4850;4730;4730;8994
BOAC.ci;24/01/2025;4660;4725;4660;4725;7627
BOAC.ci;27/01/2025;4720;4720;4705;4705;721
BOAC.ci;28/01/2025;4705;4705;4705;4705;2739
BOAC.ci;29/01/2025;4700;4715;4700;4715;2777
BOAC.ci;30/01/2025;4720;4720;4600;4600;5746
BOAC.ci;31/01/2025;4600;4650;4600;4650;1831
BOAC.ci;03/02/2025;4600;4695;4600;4695;1035
BOAC.ci;04/02/2025;4695;4695;4600;4600;4635
BOAC.ci;05/02/2025;4600;4695;4600;4695;883
BOAC.ci;06/02/2025;4610;4710;4610;4710;5497
BOAC.ci;07/02/2025;4710;4795;4710;4795;6069
BOAC.ci;10/02/2025;4795;4795;4755;4755;2601
BOAC.ci;11/02/2025;4755;4755;4610;4610;6495
BOAC.ci;12/02/2025;4855;4855;4800;4800;1186
BOAC.ci;13/02/2025;4840;4845;4840;4845;2248
BOAC.ci;14/02/2025;4840;4845;4840;4845;5941
BOAC.ci;17/02/2025;4850;4900;4850;4900;2862
BOAC.ci;18/02/2025;4990;4990;4985;4985;699
BOAC.ci;19/02/2025;4995;5100;4995;5100;10234
BOAC.ci;20/02/2025;5100;5375;5100;5375;3723
BOAC.ci;21/02/2025;5360;5690;5360;5690;4441
BOAC.ci;24/02/2025;5680;5950;5680;5950;6120
BOAC.ci;25/02/2025;5990;5990;5895;5895;6184
BOAC.ci;26/02/2025;5890;5890;5800;5800;4968
BOAC.ci;28/02/2025;5795;5795;5780;5780;8033
BOAB.bj;01/01/2025;3675;3685;3675;3685;315
BOAB.bj;02/01/2025;3685;3685;3685;3685;118
BOAB.bj;03/01/2025;3685;3685;3685;3685;2334
BOAB.bj;06/01/2025;3680;3680;3670;3670;762
BOAB.bj;07/01/2025;3670;3670;3625;3625;2175
BOAB.bj;08/01/2025;3610;3610;3610;3610;1957
BOAB.bj;09/01/2025;3595;3595;3575;3575;914
BOAB.bj;10/01/2025;3575;3575;3500;3500;797
BOAB.bj;13/01/2025;3500;3500;3400;3400;1246
BOAB.bj;14/01/2025;3145;3230;3145;3230;5804
BOAB.bj;15/01/2025;3245;3245;3185;3185;2941
BOAB.bj;16/01/2025;3230;3230;3225;3225;1984
BOAB.bj;17/01/2025;3225;3250;3225;3250;2510
